Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2013-06-23,26.009166666666665,27.25,25.18,8.0640625,8.75,7.41,144.61458333333334,156,140,28.864583333333332,63.1,17.1,20.83125,28.2,13.3,118.890625,148.9,96.1,9.519134185366514,11.673015052331534,7.7747044497694455
2013-06-24,27.258541666666666,28.85,26.01,8.298020833333334,8.86,7.54,144.125,151,140,31.082291666666666,51.3,21.1,22.002083333333335,27.5,14.2,131.56875,156.1,105.4,10.27976866675798,11.918947699018846,8.452780908174935
2013-06-25,28.332291666666666,29.64,27.1,8.443333333333333,8.9,7.59,152.97916666666666,171,145,25.259375,41,15.4,21.808333333333334,30.3,16.1,135.21354166666666,162.9,109.1,10.357004817057618,12.200589481209914,8.55911662429043
2013-06-26,28.881354166666668,30.1,27.78,8.4965625,8.98,7.26,163.35416666666666,171,158,21.630208333333332,38.2,11.4,22.865625,30.3,17.8,135.615625,168.5,96.4,10.286398715145594,12.51069109759913,7.309125814588021
2013-06-27,28.046770833333333,28.74,27.46,8.433645833333333,8.83,7.32,169.125,177,163,22.855208333333334,65,13,25.21666666666667,32.5,18.5,119.515625,135.7,104.4,9.220113015792517,10.402026604659328,8.0770201913499
2013-06-28,28.262083333333333,30.32,27.1,8.4490625,9.08,7.32,171.71875,181,161,21.657291666666666,33.9,10.9,25.983333333333334,34.2,18.4,120.10833333333333,160.9,84.5,9.211811150843568,11.94296501035411,6.629385172106879
2013-06-29,28.37125,29.7,27.45,8.6925,9.1,7.66,170.67708333333334,173,168,20.625,49.1,10.6,25.102083333333333,33.4,19.8,120.05208333333333,159.7,88.4,9.192118222214425,11.997126235944778,6.898780003936976
2013-06-30,28.670208333333335,30.66,27.74,8.721666666666668,9.18,8.06,172.53125,175,169,18.282291666666666,38.5,6.7,22.40416666666667,25.3,16.9,123.37291666666667,156.3,98,9.397707095607327,11.580721944610703,7.606228521651139
2013-07-01,28.287916666666668,28.93,27.39,8.5821875,8.94,7.68,172.84375,179,154,19.870833333333334,70.3,11,21.13125,24.8,16.8,113.68645833333333,133.2,91.1,8.729199963205467,10.166210088797023,7.117547230529839
2013-07-02,27.573854166666667,28.21,26.42,8.4475,8.89,7.46,175.48958333333334,180,160,20.495833333333334,48.8,10.9,21.944791666666667,30.3,16.6,111.72916666666667,134.3,86.2,8.695653032037361,10.386347972114304,6.834768982440992
2013-07-03,27.971979166666667,29.96,25.98,8.533125,9.14,7.45,176.69791666666666,186,170,21.88125,44.1,12.4,23.365625,31.1,15.9,125.328125,164.8,90,9.65395408443563,12.431778293353497,7.221860297922053
